condition,target_party,retrieved_party,proportion
jina/twostage,AfD,SPD,0.1333
jina/twostage,AfD,CDU/CSU,0.1649
jina/twostage,AfD,AfD,0.4114
jina/twostage,AfD,FDP,0.0798
jina/twostage,AfD,Greens,0.0921
jina/twostage,AfD,Left,0.0921
jina/twostage,AfD,Other,0.0263
jina/twostage,FDP,SPD,0.2362
jina/twostage,FDP,CDU/CSU,0.2586
jina/twostage,FDP,AfD,0.1293
jina/twostage,FDP,FDP,0.1707
jina/twostage,FDP,Greens,0.1034
jina/twostage,FDP,Left,0.0845
jina/twostage,FDP,Other,0.0172
jina/twostage,Greens,SPD,0.2645
jina/twostage,Greens,CDU/CSU,0.2368
jina/twostage,Greens,AfD,0.0813
jina/twostage,Greens,FDP,0.0955
jina/twostage,Greens,Greens,0.2142
jina/twostage,Greens,Left,0.1006
jina/twostage,Greens,Other,0.0071
jina/twostage,Left,SPD,0.1804
jina/twostage,Left,CDU/CSU,0.162
jina/twostage,Left,AfD,0.1374
jina/twostage,Left,FDP,0.0659
jina/twostage,Left,Greens,0.1492
jina/twostage,Left,Left,0.2905
jina/twostage,Left,Other,0.0145
qwen3/hyde,SPD,SPD,0.3537
qwen3/hyde,SPD,CDU/CSU,0.3176
qwen3/hyde,SPD,AfD,0.0463
qwen3/hyde,SPD,FDP,0.0787
qwen3/hyde,SPD,Greens,0.1491
qwen3/hyde,SPD,Left,0.0528
qwen3/hyde,SPD,Other,0.0019
qwen3/hyde,CDU/CSU,SPD,0.2588
qwen3/hyde,CDU/CSU,CDU/CSU,0.3373
qwen3/hyde,CDU/CSU,AfD,0.0745
qwen3/hyde,CDU/CSU,FDP,0.1098
qwen3/hyde,CDU/CSU,Greens,0.1804
qwen3/hyde,CDU/CSU,Left,0.0314
qwen3/hyde,CDU/CSU,Other,0.0078
qwen3/hyde,AfD,SPD,0.1474
qwen3/hyde,AfD,CDU/CSU,0.2404
qwen3/hyde,AfD,AfD,0.3158
qwen3/hyde,AfD,FDP,0.0825
qwen3/hyde,AfD,Greens,0.1175
qwen3/hyde,AfD,Left,0.0772
qwen3/hyde,AfD,Other,0.0193
qwen3/hyde,FDP,SPD,0.2379
qwen3/hyde,FDP,CDU/CSU,0.2862
qwen3/hyde,FDP,AfD,0.0448
qwen3/hyde,FDP,FDP,0.2069
qwen3/hyde,FDP,Greens,0.1379
qwen3/hyde,FDP,Left,0.0724
qwen3/hyde,FDP,Other,0.0138
qwen3/hyde,Greens,SPD,0.2756
qwen3/hyde,Greens,CDU/CSU,0.2436
qwen3/hyde,Greens,AfD,0.0385
qwen3/hyde,Greens,FDP,0.1141
qwen3/hyde,Greens,Greens,0.2346
qwen3/hyde,Greens,Left,0.0833
qwen3/hyde,Greens,Other,0.0103
qwen3/hyde,Left,SPD,0.1866
qwen3/hyde,Left,CDU/CSU,0.1385
qwen3/hyde,Left,AfD,0.0994
qwen3/hyde,Left,FDP,0.0637
qwen3/hyde,Left,Greens,0.1542
qwen3/hyde,Left,Left,0.3408
qwen3/hyde,Left,Other,0.0168
qwen3/simple,SPD,SPD,0.3327
qwen3/simple,SPD,CDU/CSU,0.3207
qwen3/simple,SPD,AfD,0.0645
qwen3/simple,SPD,FDP,0.0765
qwen3/simple,SPD,Greens,0.1401
qwen3/simple,SPD,Left,0.0636
qwen3/simple,SPD,Other,0.0018
qwen3/simple,CDU/CSU,SPD,0.2118
qwen3/simple,CDU/CSU,CDU/CSU,0.3765
qwen3/simple,CDU/CSU,AfD,0.0863
qwen3/simple,CDU/CSU,FDP,0.1176
qwen3/simple,CDU/CSU,Greens,0.1529
qwen3/simple,CDU/CSU,Left,0.051
qwen3/simple,CDU/CSU,Other,0.0039
qwen3/simple,AfD,SPD,0.1105
qwen3/simple,AfD,CDU/CSU,0.2105
qwen3/simple,AfD,AfD,0.3877
qwen3/simple,AfD,FDP,0.0877
qwen3/simple,AfD,Greens,0.0982
qwen3/simple,AfD,Left,0.0895
qwen3/simple,AfD,Other,0.0158
qwen3/simple,FDP,SPD,0.2276
qwen3/simple,FDP,CDU/CSU,0.269
qwen3/simple,FDP,AfD,0.0828
qwen3/simple,FDP,FDP,0.2069
qwen3/simple,FDP,Greens,0.1103
qwen3/simple,FDP,Left,0.1
qwen3/simple,FDP,Other,0.0034
qwen3/simple,Greens,SPD,0.2679
qwen3/simple,Greens,CDU/CSU,0.1897
qwen3/simple,Greens,AfD,0.0513
qwen3/simple,Greens,FDP,0.1077
qwen3/simple,Greens,Greens,0.2782
qwen3/simple,Greens,Left,0.0949
qwen3/simple,Greens,Other,0.0103
qwen3/simple,Left,SPD,0.1374
qwen3/simple,Left,CDU/CSU,0.1307
qwen3/simple,Left,AfD,0.1084
qwen3/simple,Left,FDP,0.0659
qwen3/simple,Left,Greens,0.1497
qwen3/simple,Left,Left,0.3844
qwen3/simple,Left,Other,0.0235
qwen3/twostage,SPD,SPD,0.33
qwen3/twostage,SPD,CDU/CSU,0.3244
qwen3/twostage,SPD,AfD,0.0406
qwen3/twostage,SPD,FDP,0.0922
qwen3/twostage,SPD,Greens,0.1456
qwen3/twostage,SPD,Left,0.0636
qwen3/twostage,SPD,Other,0.0037
qwen3/twostage,CDU/CSU,SPD,0.2706
qwen3/twostage,CDU/CSU,CDU/CSU,0.3529
qwen3/twostage,CDU/CSU,AfD,0.0745
qwen3/twostage,CDU/CSU,FDP,0.1216
qwen3/twostage,CDU/CSU,Greens,0.1176
qwen3/twostage,CDU/CSU,Left,0.051
qwen3/twostage,CDU/CSU,Other,0.0118
qwen3/twostage,AfD,SPD,0.1333
qwen3/twostage,AfD,CDU/CSU,0.1965
qwen3/twostage,AfD,AfD,0.3544
qwen3/twostage,AfD,FDP,0.1088
qwen3/twostage,AfD,Greens,0.086
qwen3/twostage,AfD,Left,0.0982
qwen3/twostage,AfD,Other,0.0228
